SampleID,Crypto_OocystsPerLiter,DetectionLevel,Crypto_OocystsPer100 mL
A-101-S-30-T,0.3,BDL,0.026666667
A-101-S-T2,0.3,BDL,0.026666667
A-102-P-30-T,,ANP,0
A-102-P-T2,,ANP,0
A-104-X-T2,0.2,BDL,0.023255814
A-105-X-30-T,0.4,BDL,0.04
A-105-X-T2,0.3,BDL,0.033333333
A-106-P-30-T,,ANP,0
A-106-P-T2,,ANP,0
A-107-C-30-T,0.3,BDL,0.028985507
A-107-C-T2,0.2,BDL,0.024691358
A-108-P-30-T,,ANP,0
A-108-P-T2,,ANP,0
A-109-C-40-T,0.5,BDL,0.05
A-109-C-T2,0.5,BDL,0.05
A-110-C-T2-a,1.0,BDL,0.1
A-110-C-T2-b,0.5,BDL,0.05
A-111-S-30-T,0.2,BDL,0.022222222
A-111-S-T2,0.2,BDL,0.021978022
A-112-P-30-T,,ANP,0
A-112-P-T2,,ANP,0
A-201-P-30-T,,ANP,0
A-201-P-T2,,ANP,0
A-202-S-30-T,0.3,BDL,0.025
A-202-S-T2,0.3,BDL,0.025
A-203-P-30-T,,ANP,0
A-203-P-T2,,ANP,0
A-204-X-30-T,0.7,BDL,0.066666667
A-204-X-T2,0.7,BDL,0.066666667
A-205-C-30-T,1.0,BDL,0.1
A-205-C-T2-a,1.0,BDL,0.1
A-206-P-30-T,,ANP,0
A-206-P-T2,,ANP,0
A-209-C-30-T,0.2,BDL,0.023255814
A-209-C-T2,0.2,BDL,0.024390244
A-210-S-T2,0.2,BDL,0.023255814
A-307-C-30-T,0.6,BDL,0.0625
A-307-C-T2,0.3,BDL,0.025
A-308-X-30-T,0.6,BDL,0.055555556
A-308-X-T2,0.2,BDL,0.021978022
A-401-S-30-T,0.2,BDL,0.023529412
A-401-S-T2,0.3,BDL,0.025
A-402-X-30-T,0.3,BDL,0.025
A-402-X-T2,0.3,BDL,0.025
A-403-C-30-T,0.4,BDL,0.036363636
A-403-C-T2,0.3,BDL,0.033333333
A-404-P-30-T,,ANP,0
A-404-P-T2,,ANP,0
A-405-X-30-T,0.2,BDL,0.023529412
A-405-X-T2,0.3,BDL,0.025
A-406-S-30-T,0.3,BDL,0.025
A-406-S-T2-a,0.2,BDL,0.023529412
A-407-X-30-T,0.2,BDL,0.023529412
A-407-X-T2,0.2,BDL,0.023529412
A-408-P-30-T,,ANP,0
A-408-P-T2,,ANP,0
A-409-C-30-T,0.3,BDL,0.027027027
A-409-C-T2,0.2,BDL,0.02247191
A-410-S-30-T,0.3,BDL,0.029411765
A-410-S-T2,0.3,BDL,0.02739726
A-411-S-T2,0.2,BDL,0.021052632
A-412-C-T2,0.5,BDL,0.05
A-501-X-30-T,0.3,BDL,0.025
A-501-X-T2,0.2,BDL,0.022727273
A-502-S-30-T,0.2,BDL,0.021978022
A-502-S-T2,0.2,BDL,0.022222222
A-503-C-30-T,0.4,BDL,0.04
A-503-C-T2,0.4,BDL,0.036363636
A-504-X-30-T,0.4,BDL,0.04
A-504-X-T2,0.4,BDL,0.04
