SampleID,ClostridiumCulturable_TSCF_CFUPer100ml,DetectionLevel,,,,,,,
D-403-C-15,,ANP,,,,,,,
D-403-C-30-T2,,ANP,,,,,,,
D-403-C-T2,,ANP,,,,,,,
D-404-P-30-T2,,ANP,,,,,,,
D-409-C-15,,ANP,,,,,,,
D-409-C-30-T2,,ANP,,,,,,,
D-409-C-T2,,ANP,,,,,,,
D-410-S-30-T2,,ANP,,,,,,,
D-101-S-15,148.00,WR,,,,,,,
D-101-S-30-T2,1330.00,WR,,,,,,,
D-101-S-T2,896.67,WR,,,,,,,
D-102-P-15,110.00,WR,,,,,,,
D-102-P-30-T2,150.67,WR,,,,,,,
D-102-P-T2,82.67,WR,,,,,,,
D-105-X-15,3.00,WR,,,,,,,
D-105-X-30-T2,1.67,WR,,,,,,,
D-105-X-T2,2.00,WR,,,,,,,
D-106-P-15,284.67,WR,,,,,,,
D-106-P-30-T2,182.00,WR,,,,,,,
D-106-P-T2,130.67,WR,,,,,,,
D-107-C-15,10.67,WR,,,,,,,
D-107-C-30-T2,6.33,WR,,,,,,,
D-107-C-T2,7.00,WR,,,,,,,
D-108-P-15,188.67,WR,,,,,,,
D-108-P-30-T2,171.33,WR,,,,,,,
D-108-P-T2,87.33,WR,,,,,,,
D-109-C-15,53.33,WR,,,,,,,
D-109-C-30-T2,123.33,WR,,,,,,,
D-109-C-T2,84.67,WR,,,,,,,
D-110-X-15,235.75,WR,,,,,,,
D-110-X-30-T2,154.67,WR,,,,,,,
D-110-X-T2,79.83,WR,,,,,,,
D-111-S-15,151.33,WR,,,,,,,
D-111-S-30-T2,132.67,WR,,,,,,,
D-111-S-T2,64.67,WR,,,,,,,
D-112-P-15,134.00,WR,,,,,,,
D-112-P-30-T2,129.33,WR,,,,,,,
D-112-P-T2,83.33,WR,,,,,,,
D-201-P-15,384.67,WR,,,,,,,
D-201-P-30-T2,322.67,WR,,,,,,,
D-201-P-T2,256.00,WR,,,,,,,
D-202-S-15,36.67,WR,,,,,,,
D-202-S-30-T2,621.33,WR,,,,,,,
D-202-S-T2,370.00,WR,,,,,,,
D-203-P-15,184.67,WR,,,,,,,
D-203-P-30-T2,126.67,WR,,,,,,,
D-203-P-T2,359.33,WR,,,,,,,
D-204-X-15,111.17,WR,,,,,,,
D-204-X-30-T2,107.50,WR,,,,,,,
D-204-X-T2,80.00,WR,,,,,,,
D-205-C-15,149.17,WR,,,,,,,
D-205-C-30-T2,150.00,WR,,,,,,,
D-205-C-T2,96.67,WR,,,,,,,
D-206-P-30-T2,357.50,WR,,,,,,,
D-206-P-T2,280.83,WR,,,,,,,
D-209-C-15,20.00,WR,,,,,,,
D-209-C-30-T2,11.67,WR,,,,,,,
D-209-C-T2,153.67,WR,,,,,,,
D-210-S-15,660.00,WR,,,,,,,
D-210-S-30-T2,236.67,WR,,,,,,,
D-210-S-T2,425.67,WR,,,,,,,
D-307-C-15,35.00,WR,,,,,,,
D-307-C-30-T2,42.67,WR,,,,,,,
D-307-C-T2,23.67,WR,,,,,,,
D-308-X-15,17.67,WR,,,,,,,
D-308-X-30-T2,6.33,WR,,,,,,,
D-308-X-T2,16.33,WR,,,,,,,
D-401-S-15,980.67,WR,,,,,,,
D-401-S-30-T2,1058.00,WR,,,,,,,
D-401-S-T2,1007.33,WR,,,,,,,
D-402-X-15,77.33,WR,,,,,,,
D-402-X-30-T2,97.67,WR,,,,,,,
D-402-X-T2,133.33,WR,,,,,,,
D-404-P-15,3.64,WR,,,,,,,
D-404-P-T2,20.00,WR,,,,,,,
D-405-X-15,78.67,WR,,,,,,,
D-405-X-30-T2,64.33,WR,,,,,,,
D-405-X-T2,119.50,WR,,,,,,,
D-406-S-15,11.33,WR,,,,,,,
D-406-S-30-T2,1068.00,WR,,,,,,,
D-406-S-T2,553.33,WR,,,,,,,
D-407-X-15,8.83,WR,,,,,,,
D-407-X-30-T2,7.67,WR,,,,,,,
D-407-X-T2,9.67,WR,,,,,,,
D-408-P-15,12.67,WR,,,,,,,
D-408-P-T2,91.33,WR,,,,,,,
D-409-C-T2,0.13,WR,,,,,,,
D-410-S-15,21.60,WR,,,,,,,
D-410-S-T2,7.87,WR,,,,,,,
D-411-S-15,237.67,WR,,,,,,,
D-411-S-30-T2,221.33,WR,,,,,,,
D-411-S-T2,201.33,WR,,,,,,,
D-412-C-15,52.67,WR,,,,,,,
D-412-C-30-T2,2.00,WR,,,,,,,
D-412-C-T2,6.67,WR,,,,,,,
D-501-X-15,71.83,WR,,,,,,,
D-501-X-30-T2,74.83,WR,,,,,,,
D-501-X-T2,83.17,WR,,,,,,,
D-502-S-15,301.00,WR,,,,,,,
D-502-S-30-T2,202.33,WR,,,,,,,
D-502-S-T2,179.67,WR,,,,,,,
D-503-C-15,1.33,WR,,,,,,,
D-503-C-30-T2,0.67,WR,,,,,,,
D-503-C-T2,1.33,WR,,,,,,,
D-504-X-15,149.33,WR,,,,,,,
D-504-X-30-T2,125.33,WR,,,,,,,
D-504-X-T2,135.33,WR,,,,,,,
