SampleID,Ecoli_eae_GUPerML,DetectionLevel
B-109-C-30-T,4621.58,WR
B-109-C-T2,2554.99,WR
B-101-S-30-T,5.40,BDL
B-101-S-T2,2.93,BDL
B-110-x-30-T,1.71,BDL
B-110-X-T2,1.57,BDL
B-205-C-30-T,8945.17,WR
B-205-C-T2,3631.82,WR
B-204-X-30-T,2.05,BDL
B-204-X-T2,0.95,BDL
B-405-X-30-T,2.68,BDL
B-405-X-T2,1.55,BDL
B-406-S-30-T,1125.84,WR
B-406-S-T2,3.15,BDL
B-411-S-30-T,128.29,BQL
B-411-S-T2,1.62,BDL
B-412-C-30-T,70.85,BQL
B-412-C-T2,671.15,WR
B-107-C-30-T,668.26,WR
B-107-C-T2,366.68,WR
B-501-X-30-T,2.27,WR
B-501-X-T2,3.71,BDL
B-502-S-30-T,0.77,WR
B-502-S-T2,0.95,BDL
B-111-S-30-T,0.54,BDL
B-111-S-T2,1.26,BDL
B-209-C-30-T,627.82,WR
B-209-C-T2,640.24,WR
B-210-S-30-T,2.56,BDL
B-210-S-T2,1.48,BDL
B-307-C-30-T,3.06,BDL
B-307-C-T2,616.57,WR
B-308-X-30-T,839.37,WR
B-308-X-T2,2.25,BDL
B-407-X-30-T,2.75,BDL
B-407-X-T2,2.05,BDL
B-105-X-30-T,1.89,BDL
B-105-X-T2,3.02,BDL
B-503-C-30-T,55.63,BQL
B-503-C-T2,166.16,BQL
B-504-X-30-T,1.48,BDL
B-504-X-T2,5.53,BDL
B-202-S-30-T,1.73,BDL
B-202-S-T2,0.85,BDL
B-401-S-30-T,0.85,BDL
B-401-S-T2,2.52,BDL
B-402-X-30-T,1.40,BDL
B-402-X-T2,1.30,BDL
B-403-C-30-T,159.89,BQL
B-403-C-T2,74.75,BQL
B-409-C-30-T,36.08,BQL
B-409-C-T2,19.61,BQL
B-410-S-30-T,1.22,BDL
B-410-S-T2,1.44,BDL
B-102-P-30-T,,ANP
B-102-P-T2,,ANP
B-206-P-30-T,,ANP
B-206-P-T2,,ANP
B-203-P-30-T,,ANP
B-203-P-T2,,ANP
B-108-P-30-T,,ANP
B-108-P-T2,,ANP
B-112-P-30-T,,ANP
B-112-P-T2,,ANP
B-408-P-30-T,,ANP
B-408-P-T2,,ANP
B-106-P-30-T,,ANP
B-106-P-T2,,ANP
B-201-P-30-T,,ANP
B-201-P-T2,,ANP
B-404-P-30-T,,ANP
B-404-P-T2,,ANP
