SampleID,TotalSuspendedSolids_MgPerLiter,DetectionLevel
B-109-C-T1,107.363,WR
B-110-X-T1,19.250,WR
B-101-S-T1,18.764,WR
B-102-P-T1,54.260,WR
B-203-P-T1,82.760,WR
B-204-X-T1,67.653,WR
B-205-C-T1,324.000,WR
B-206-P-T1,62.702,WR
B-405-X-T1,32.389,WR
B-406-S-T1,29.440,WR
B-411-S-T1,81.781,WR
B-412-C-T1,236.892,WR
B-502-S-T1,10.704,WR
B-501-X-T1,29.958,WR
B-107-C-T1,32.847,WR
B-108-P-T1,54.390,WR
B-209-C-T1,16.930,WR
B-210-S-T1,16.148,WR
B-111-S-T1,18.228,WR
B-112-P-T1,60.849,WR
B-307-C-T1,6.355,WR
B-308-X-T1,24.793,WR
B-407-X-T1,14.386,WR
B-408-P-T1,30.938,WR
B-106-P-T1,33.708,WR
B-105-X-T1,23.271,WR
B-503-C-T1,29.456,WR
B-504-X-T1,22.621,WR
B-401-S-T1,38.228,WR
B-402-X-T1,37.641,WR
B-201-P-T1,32.247,WR
B-202-S-T1,31.565,WR
B-403-C-T1,25.297,WR
B-404-P-T1,52.836,WR
B-409-C-T1,35.591,WR
B-410-S-T1,41.118,WR
,,
,,
