SampleID,Crypto_OocystsPerml,DetectionLevel,Crypto_OocystsPerL,
C-101-S-15,,ANP,,
C-102-P-15,,ANP,,
C-102-P-30-T2,,ANP,,
C-102-P-T2,,ANP,,
C-105-X-15,,ANP,,
C-106-P-15,,ANP,,
C-106-P-30-T2,,ANP,,
C-106-P-T2,,ANP,,
C-107-C-15,,ANP,,
C-107-C-30-T2,,ANP,,
C-107-C-T2,,ANP,,
C-108-P-15,,ANP,,
C-108-P-30-T2,,ANP,,
C-108-P-T2,,ANP,,
C-109-C-15,,ANP,,
C-110-X-15,,ANP,,
C-111-S-15,,ANP,,
C-112-P-15,,ANP,,
C-112-P-30-T2,,ANP,,
C-112-P-T2,,ANP,,
C-201-P-15,,ANP,,
C-201-P-30-T2,,ANP,,
C-201-P-T2,,ANP,,
C-202-S-15,,ANP,,
C-203-P-15,,ANP,,
C-203-P-30-T2,,ANP,,
C-203-P-T2,,ANP,,
C-204-X-15,,ANP,,
C-205-C-15,,ANP,,
C-206-P-30-T2,,ANP,,
C-206-P-T2,,ANP,,
C-209-C-15,,ANP,,
C-209-C-30-T2,,ANP,,
C-209-C-T2,,ANP,,
C-210-S-15,,ANP,,
C-307-C-15,,ANP,,
C-308-X-15,,ANP,,
C-401-S-15,,ANP,,
C-402-X-15,,ANP,,
C-403-C-15,,ANP,,
C-404-P-15,,ANP,,
C-404-P-30-T2,,ANP,,
C-404-P-T2,,ANP,,
C-405-X-15,,ANP,,
C-406-S-15,,ANP,,
C-407-X-15,,ANP,,
C-407-X-30-T2,,ANP,,
C-408-P-15,,ANP,,
C-408-P-30-T2,,ANP,,
C-408-P-T2,,ANP,,
C-409-C-15,,ANP,,
C-410-S-15,,ANP,,
C-411-S-15,,ANP,,
C-412-C-15,,ANP,,
C-501-X-15,,ANP,,
C-501-X-30-T2,,ANP,,
C-501-X-T2,,ANP,,
C-502-S-15,,ANP,,
C-503-C-15,,ANP,,
C-504-X-15,,ANP,,
C-105-X-30-T2,0.00077,BDL,0.769230769,
C-105-X-T2,0.00013,BDL,0.125,
C-110-X-30-T2,0.00067,BDL,0.666666667,
C-204-X-30-T2,0.00100,BDL,1,
C-204-X-T2,0.00011,BDL,0.105263158,
C-210-S-30-T2,0.02000,BDL,20,
C-308-X-30-T2,0.00033,BDL,0.333333333,
C-308-X-T2,0.00014,BDL,0.142857143,
C-402-X-T2,0.00010,BDL,0.1,
C-409-C-30-T2,0.00200,BDL,2,
C-409-C-T2,0.00286,BDL,2.857142857,
C-410-S-30-T2,0.00017,BDL,0.166666667,
C-503-C-30-T2,0.00154,BDL,1.538461538,
C-504-X-T2,0.00022,BDL,0.222222222,
C-101-S-30-T2,153.33333,WR,153333.3333,
C-101-S-T2,140.00000,WR,140000,
C-109-C-30-T2,16.60000,WR,16600,
C-109-C-T2,19.20000,WR,19200,
C-110-X-T2,0.00025,WR,0.25,
C-111-S-30-T2,0.55000,WR,550,
C-111-S-T2,0.50000,WR,500,
C-202-S-30-T2,0.67882,WR,678.8235294,
C-202-S-T2,0.28000,WR,280,
C-205-C-30-T2,27.40000,WR,27400,
C-205-C-T2,24.20000,WR,24200,
C-210-S-T2,0.18000,WR,180,
C-307-C-30-T2,0.00171,WR,1.714285714,
C-307-C-T2,0.00086,WR,0.857142857,
C-401-S-30-T2,1.56000,WR,1560,
C-401-S-T2,0.92000,WR,920,
C-402-X-30-T2,0.00086,WR,0.857142857,
C-403-C-30-T2,0.00159,WR,1.587301587,
C-403-C-T2,0.00329,WR,3.285714286,
C-405-X-30-T2,0.01467,WR,14.66666667,
C-405-X-T2,0.12386,WR,123.8571429,
C-406-S-30-T2,85.18519,WR,85185.18519,
C-406-S-T2,70.37037,WR,70370.37037,
C-407-X-T2,0.00100,WR,1,
C-410-S-T2,0.00013,WR,0.125,
C-411-S-30-T2,0.61000,WR,610,
C-411-S-T2,6.03567,WR,6035.665295,
C-412-C-30-T2,0.41143,WR,411.4285714,
C-412-C-T2,5.84615,WR,5846.153846,
C-502-S-30-T2,0.94000,WR,940,
C-502-S-T2,0.87615,WR,876.1538462,
C-503-C-T2,0.00091,WR,0.909090909,
C-504-X-30-T2,0.00200,WR,2,
,,,,
