SampleID,ClostridiumCulturable_mCP_CFUPer100ml,DetectionLevel
A-102-P-15,0,BDL
A-102-P-30-T,0,BDL
A-107-C-15,0.0,BDL
A-107-C-30-T,0.0,BDL
A-107-C-T2,0.0,BDL
A-108-P-15,0.0,BDL
A-108-P-30-T,0.0,BDL
A-108-P-T2,0.0,BDL
A-109-C-40-T,0,BDL
A-203-P-15,0.0,BDL
A-204-X-30-T,0.0,BDL
A-205-C-15,0.0,BDL
A-205-C-30-T,0.0,BDL
A-205-C-T2-a,0.0,BDL
A-209-C-15,0.0,BDL
A-209-C-30-T,0.0,BDL
A-209-C-T2,0.0,BDL
A-307-C-T2,0.0,BDL
A-308-X-15,0.0,BDL
A-308-X-30-T,0.0,BDL
A-308-X-T2,0.0,BDL
A-403-C-15,0.0,BDL
A-410-S-30-T,0.0,BDL
A-501-X-30-T,0.0,BDL
A-501-X-T2,0.0,BDL
A-503-C-15,0.0,BDL
A-503-C-T2,0.0,BDL
A-504-X-15,0.0,BDL
A-504-X-30-T,0.0,BDL
A-504-X-T2,0.0,BDL
A-101-S-15,37,WR
A-101-S-30-T,41,WR
A-101-S-T2,49,WR
A-102-P-T2,1,WR
A-104-X-15,0.3,WR
A-104-X-T2,0.3,WR
A-105-X-15,0.7,WR
A-105-X-30-T,2.7,WR
A-105-X-T2,0.7,WR
A-106-P-15,108,WR
A-106-P-30-T,73.3,WR
A-106-P-T2,53.3,WR
A-109-C-15,17,WR
A-109-C-T2,3,WR
A-110-C-15,3,WR
A-110-C-T2-a,3,WR
A-110-C-T2-b,7,WR
A-111-S-15,58.7,WR
A-111-S-30-T,17.0,WR
A-111-S-T2,17.0,WR
A-112-P-15,143,WR
A-112-P-30-T,14.7,WR
A-112-P-T2,9.3,WR
A-201-P-15,50.0,WR
A-201-P-30-T,30.0,WR
A-201-P-T2,53.3,WR
A-202-S-15,137,WR
A-202-S-30-T,102,WR
A-202-S-T2,87.7,WR
A-203-P-30-T,3.3,WR
A-203-P-T2,3.3,WR
A-204-X-15,2.0,WR
A-204-X-T2,0.7,WR
A-206-P-15,6.7,WR
A-206-P-30-T,3.3,WR
A-206-P-T2,3.3,WR
A-210-S-15,14.7,WR
A-210-S-T2,46.3,WR
A-307-C-15,0.3,WR
A-307-C-30-T,0.6,WR
A-401-S-15,23.3,WR
A-401-S-30-T,25.7,WR
A-401-S-T2,23.0,WR
A-402-X-15,433,WR
A-402-X-30-T,440,WR
A-402-X-T2,337,WR
A-403-C-30-T,2.0,WR
A-403-C-T2,5.0,WR
A-404-P-15,3.3,WR
A-404-P-30-T,1.7,WR
A-404-P-T2,3.3,WR
A-405-X-15,7.0,WR
A-405-X-30-T,5.7,WR
A-405-X-T2,3.7,WR
A-406-S-15,507,WR
A-406-S-30-T,423,WR
A-406-S-T2-a,383,WR
A-407-X-15,0.7,WR
A-407-X-30-T,0.7,WR
A-407-X-T2,1.0,WR
A-408-P-15,76.0,WR
A-408-P-30-T,5.3,WR
A-408-P-T2,53.3,WR
A-409-C-15,0.7,WR
A-409-C-30-T,0.7,WR
A-409-C-T2,0.3,WR
A-410-S-15,46.0,WR
A-410-S-T2,11.7,WR
A-411-S-15,260,WR
A-411-S-T2,139,WR
A-412-C-15,6.0,WR
A-412-C-T2,5.3,WR
A-501-X-15,0.4,WR
A-502-S-15,14.7,WR
A-502-S-30-T,12.7,WR
A-502-S-T2,12.0,WR
A-503-C-30-T,0.7,WR
