SampleID,Giardia_CystsPerML,DetectionLevel,Giardia_CystsPerLiter
B-109-C-30-T,12.7000000,WR,12700
B-109-C-T2,9.5000000,WR,9500
B-101-S-30-T,2.2500000,WR,2250
B-101-S-T2,10.3125000,WR,10312.5
B-110-X-30-T,0.0002500,BDL,0.25
B-110-X-T2,0.0002500,BDL,0.25
B-205-C-30-T,7.8000000,WR,7800
B-205-C-T2,6.2000000,WR,6200
B-204-X-30-T,0.0010000,BDL,1
B-204-X-T2,0.0006667,BDL,0.666666667
B-405-X-30-T,0.0002500,BDL,0.25
B-405-X-T2,0.0002500,BDL,0.25
B-406-S-30-T,0.4000000,WR,400
B-406-S-T2,0.5187500,WR,518.75
B-411-S-30-T,0.4737631,WR,473.7631184
B-411-S-T2,0.6625000,WR,662.5
B-412-C-30-T,5.2000000,WR,5200
B-412-C-T2,1.6000000,WR,1600
B-107-C-30-T,0.0040000,WR,4
B-107-C-T2,0.0040000,WR,4
B-501-X-30-T,0.0005000,BDL,0.5
B-501-X-T2,0.0005000,BDL,0.5
B-502-S-30-T,0.0040000,WR,4
B-502-S-T2,0.0140000,WR,14
B-111-S-30-T,0.0320000,WR,32
B-111-S-T2,0.0280000,WR,28
B-209-C-30-T,0.0040000,WR,4
B-209-C-T2,0.0040000,WR,4
B-210-S-30-T,0.0020000,WR,2
B-210-S-T2,0.0120000,WR,12
B-307-C-30-T,0.0004444,BDL,0.444444444
B-307-C-T2,0.0003636,BDL,0.363636364
B-308-X-30-T,0.0006667,BDL,0.666666667
B-308-X-T2,0.0006667,BDL,0.666666667
B-407-X-30-T,0.0005000,BDL,0.5
B-407-X-T2,0.0005000,BDL,0.5
B-105-X-30-T,0.0005000,BDL,0.5
B-105-X-T2,0.0005000,BDL,0.5
B-503-C-30-T,0.0002857,BDL,0.285714286
B-503-C-T2,0.0002353,BDL,0.235294118
B-504-X-30-T,0.0006667,BDL,0.666666667
B-504-X-T2,0.0006667,BDL,0.666666667
B-202-S-30-T,0.0013333,WR,1.333333333
B-202-S-T2,0.0054286,WR,5.428571429
B-401-S-30-T,0.0029333,WR,2.933333333
B-401-S-T2,0.0002857,WR,0.285714286
B-402-X-30-T,0.0006667,BDL,0.666666667
B-402-X-T2,0.0010000,BDL,1
B-403-C-30-T,0.0008000,BDL,0.8
B-403-C-T2,0.0003077,BDL,0.307692308
B-409-C-30-T,0.0003077,BDL,0.307692308
B-409-C-T2,0.0003333,BDL,0.333333333
B-410-S-30-T,0.0006154,WR,0.615384615
B-410-S-T2,0.0023333,WR,2.333333333
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
