RainfallTreatmentID,RainfallStartTime,RainfallDuration_Minutes,AverageRainfallIntensity_cmPerHour,RunoffStartTimeSinceRainfallStarted_Minutes,CummulativeRunoffVolume_Liters,Notes
R_109_B,3/2/10 12:48 PM,60,7.30,12,70.68039829,
R_110_B,3/2/10 12:48 PM,60,7.40,10,60.2959368,
R_101_B,3/2/10 12:48 PM,60,7.31,7,61.24480133,
R_102_B,3/2/10 12:48 PM,60,7.59,9,80.25011745,
R_203_B,3/3/10 12:58 PM,60,5.88,12,77.53664515,
R_204_B,3/3/10 12:58 PM,60,7.03,8,89.18,
R_205_B,3/3/10 12:58 PM,60,6.26,7,70.44,
R_206_B,3/3/10 12:58 PM,60,6.59,9,76.48168395,
R_405_B,3/4/10 12:01 PM,60,6.10,15,62.62906256,
R_406_B,3/4/10 12:01 PM,60,5.92,16,52.61093485,
R_411_B,3/4/10 12:01 PM,60,6.45,13,28.31279634,
R_412_B,3/4/10 12:01 PM,60,6.82,22,43.11,
R_502_B,3/9/10 10:58 AM,60,6.91,19,78.21426254,
R_501_B,3/9/10 10:58 AM,60,6.10,26,58.21804359,
R_107_B,3/9/10 10:58 AM,60,6.31,26,38.82337273,
R_108_B,3/9/10 10:58 AM,60,6.62,27,64.9862102,
R_209_B,3/10/10 10:35 AM,60,7.15,18,54.48364111,
R_210_B,3/10/10 10:35 AM,60,8.25,15,64.2825691,
R_111_B,3/10/10 10:35 AM,60,7.28,29,60.52514564,
R_112_B,3/10/10 10:35 AM,60,8.29,38,57.1130368,
R_307_B,3/11/10 11:05 AM,60,7.11,14,64.06036665,
R_308_B,3/11/10 11:05 AM,60,7.53,15,51.57298916,
R_407_B,3/11/10 11:05 AM,60,7.16,29,56.94188086,
R_408_B,3/11/10 11:05 AM,60,8.00,28,61.19575665,
R_106_B,3/16/10 10:51 AM,60,6.02,25,75.65493068,
R_105_B,3/16/10 10:51 AM,60,8.51,17,78.03610021,
R_503_B,3/16/10 10:51 AM,60,6.56,19,66.85791555,
R_504_B,3/16/10 10:51 AM,60,7.10,16,81.21399565,
R_401_B,3/17/10 11:05 AM,60,7.30,11,69.63644712,
R_402_B,3/17/10 11:05 AM,60,8.44,15,81.56031119,
R_201_B,3/17/10 11:05 AM,60,6.91,18,56.96890548,
R_202_B,3/17/10 11:05 AM,60,7.34,21,52.8331373,
R_403_B,3/18/10 11:07 AM,60,6.57,24,45.61556123,
R_404_B,3/18/10 11:07 AM,60,6.93,28,71.37603209,
R_409_B,3/18/10 11:07 AM,60,6.24,43,51.47289796,
R_410_B,3/18/10 11:07 AM,60,6.46,40,56.97,
